time,open,high,low,close,tick_volume,spread,real_volume
2022-09-13,1725.236,1731.772,1696.993,1702.141,114567,200,0
2022-09-14,1702.176,1707.068,1693.596,1697.512,99560,200,0
2022-09-15,1697.494,1697.775,1660.181,1662.336,103852,200,0
2022-09-16,1662.338,1680.361,1654.107,1675.286,95571,200,0
2022-09-18,1674.412,1679.963,1673.966,1677.946,4036,200,0
2022-09-19,1677.914,1678.74,1659.457,1675.744,84644,200,0
2022-09-20,1675.713,1679.43,1659.739,1666.4,87176,200,0
2022-09-21,1666.392,1687.883,1653.572,1667.04,141330,200,0
2022-09-22,1667.076,1684.833,1655.368,1672.737,138880,200,0
2022-09-23,1672.734,1675.933,1639.714,1643.877,118528,200,0
2022-09-25,1643.172,1645.673,1640.355,1644.085,5575,200,0
2022-09-26,1644.082,1649.598,1621.048,1627.669,150747,200,0
2022-09-27,1627.637,1642.334,1626.649,1628.797,114225,200,0
2022-09-28,1628.795,1662.66,1614.427,1656.18,147566,200,0
2022-09-29,1656.15,1665.171,1641.435,1664.576,132543,200,0
2022-09-30,1664.587,1675.424,1659.198,1660.963,121493,200,0
2022-10-02,1664.009,1665.394,1663.255,1664.122,4626,200,0
2022-10-03,1664.132,1702.553,1659.578,1701.0,126168,200,0
2022-10-04,1700.994,1729.469,1695.125,1725.562,120508,200,0
2022-10-05,1725.547,1727.552,1700.445,1718.379,118197,200,0
2022-10-06,1718.416,1725.491,1706.888,1711.869,108878,200,0
2022-10-07,1711.89,1714.764,1690.453,1695.006,116039,200,0
2022-10-09,1696.236,1699.857,1695.794,1696.695,4573,200,0
2022-10-10,1696.725,1697.232,1665.618,1670.1,101535,200,0
2022-10-11,1670.065,1683.879,1660.867,1664.037,122719,200,0
2022-10-12,1664.015,1678.298,1661.379,1674.46,118116,200,0
2022-10-13,1674.42,1682.36,1642.337,1663.418,152371,200,0
2022-10-14,1663.385,1671.694,1640.123,1644.267,126300,200,0
2022-10-16,1646.163,1647.656,1644.094,1647.47,4635,200,0
2022-10-17,1647.455,1668.339,1646.361,1650.698,97286,200,0
2022-10-18,1650.73,1660.853,1645.81,1652.305,104392,200,0
2022-10-19,1652.304,1653.366,1626.464,1627.097,103976,200,0
2022-10-20,1627.064,1645.57,1622.403,1626.98,107867,200,0
2022-10-21,1626.979,1658.087,1616.886,1657.806,154335,200,0
2022-10-23,1659.975,1670.606,1656.61,1661.251,20027,200,0
2022-10-24,1661.219,1663.306,1643.853,1651.742,126304,200,0
2022-10-25,1651.773,1662.281,1638.121,1652.755,107096,200,0
2022-10-26,1652.765,1674.834,1649.733,1667.513,110045,200,0
2022-10-27,1667.524,1670.754,1654.798,1661.862,122399,200,0
2022-10-28,1661.861,1666.992,1637.811,1644.761,109917,200,0
2022-10-30,1643.727,1645.373,1643.003,1643.446,4695,200,0
2022-10-31,1643.413,1645.56,1631.677,1632.416,86329,200,0
2022-11-01,1632.419,1656.969,1630.689,1646.772,109639,200,0
2022-11-02,1646.804,1669.428,1631.8,1633.721,137221,200,0
2022-11-03,1633.718,1640.911,1616.624,1629.734,115066,200,0
2022-11-04,1629.737,1681.665,1629.315,1680.971,133186,200,0
2022-11-06,1675.168,1680.309,1672.277,1672.66,5337,200,0
2022-11-07,1672.698,1681.865,1666.852,1674.072,103068,200,0
2022-11-08,1674.084,1716.901,1664.487,1711.587,118516,200,0
2022-11-09,1711.583,1722.291,1702.124,1706.45,124413,200,0
2022-11-10,1706.469,1757.196,1703.98,1752.196,145397,200,0
